Price	EngineV	Model	Year	Engine Type	Mileage	Body	﻿Brand
4200	2	320	1991	Petrol	277	sedan	BMW
7900	2.9	Sprinter 212	1999	Diesel	427	van	Mercedes-Benz
13300	5	S 500	2003	Gas	358	sedan	Mercedes-Benz
23000	4.2	Q7	2007	Petrol	240	crossover	Audi
18300	2	Rav 4	2011	Petrol	120	crossover	Toyota
199999	5.5	GLS 63	2016	Petrol	0	crossover	Mercedes-Benz
6100	2	320	1997	Gas	438	sedan	BMW
14200	2.7	A6	2006	Diesel	200	vagon	Audi
10799	1.5	Megane	2012	Diesel	193	vagon	Renault
1400	1.8	Golf IV	1999	Gas	212	other	Volkswagen
11950	1.5	Megane	2011	Diesel	177	vagon	Renault
2500	1.79	19	1994	Petrol	260	sedan	Renault
9500	2.7	A6 Allroad	2003	Gas	165	vagon	Audi
10500	1.8	Passat B6	2008	Petrol	100	sedan	Volkswagen
16000	4.7	Land Cruiser 100	2001	Gas	250	crossover	Toyota
8600	1.5	Clio	2012	Diesel	84	hatch	Renault
2990	2	318	2001	Petrol	203	other	BMW
NA	2.2	Vito	2007	Diesel	240	van	Mercedes-Benz
26500	2	Rav 4	2013	Petrol	21	crossover	Toyota
3500	2.5	A6	1998	Diesel	250	vagon	Audi
38233	2.4	Hilux	2016	Diesel	0	other	Toyota
7500	1.4	Polo	2006	Diesel	132	hatch	Volkswagen
6800	2.4	A6	1998	Gas	225	sedan	Audi
10500	2.4	Outlander	2006	Gas	130	crossover	Mitsubishi
24900	4.2	A8	2008	Diesel	163	sedan	Audi
20800	3	Touareg	2008	Diesel	151	crossover	Volkswagen
6500	2.4	A6	1999	Petrol	330	sedan	Audi
13566	2.2	Vito	2011	Other	171	other	Mercedes-Benz
8500	1.3	Colt	2010	Petrol	65	hatch	Mitsubishi
NA	4.6	GLS 500	2016	Petrol	0	crossover	Mercedes-Benz
2900	2.3	100	1989	Gas	1	sedan	Audi
21500	3	Z4	2007	Petrol	72	other	BMW
17900	3.8	Pajero Wagon	2008	Gas	87	crossover	Mitsubishi
28500	4.8	X5	2008	Gas	160	crossover	BMW
9800	1.9	Caddy	2009	Diesel	160	van	Volkswagen
14500	2.4	Camry	2006	Gas	147	sedan	Toyota
6000	2.8	528	1996	Petrol	300	sedan	BMW
67500	2.5	X5	2016	Diesel	1	crossover	BMW
33900	1.8	TT	2014	Petrol	14	other	Audi
2500	NA	A4	2000	Petrol	180	sedan	Audi
9800	2.15	Vito	2004	Diesel	230	van	Mercedes-Benz
63000	5.5	G 55 AMG	2009	Petrol	86	crossover	Mercedes-Benz
7700	2.8	528	1998	Petrol	326	sedan	BMW
9600	2.2	Vito	2006	Diesel	30	van	Mercedes-Benz
12800	2.4	Camry	2008	Petrol	181	sedan	Toyota
41000	3	X6	2012	Petrol	80	crossover	BMW
2500	2.4	Galant	1987	Petrol	220	sedan	Mitsubishi
3700	2.5	525	1990	Petrol	231	sedan	BMW
29500	5	S 500	2008	Petrol	134	sedan	Mercedes-Benz
6500	2.8	528	1996	Petrol	335	sedan	BMW
NA	3.2	E-Class	2007	Diesel	145	sedan	Mercedes-Benz
8250	1.5	Kangoo	2014	Diesel	66	van	Renault
19500	3.5	ML 350	2008	Other	172	crossover	Mercedes-Benz
13500	5	S 500	2001	Petrol	317	sedan	Mercedes-Benz
9200	2.2	Vito	2008	Diesel	266	van	Mercedes-Benz
